id,region,continent,subcontinent
AFG,SAS-Afghanistan,SAS,Southern Asia
AGO,SSA-Angola,SSA,Middle Africa
ALB,EUR-Albania,EUR,Southern Europe
ALD,EUR-Finland,EUR,Northern Europe
AND,EUR-Spain,EUR,Southern Europe
ARE,MEN-Rest of Arabia,MEN,Western Asia
ARG,LAC-Argentina,LAC,South America
ARM,FSU-Armenia,FSU,Western Asia
AUS,EAP-Australia,EAP,Oceania
AUT,EUR-Austria,EUR,Western Europe
AZE,FSU-Azerbaijan,FSU,Western Asia
BDI,SSA-Burundi,SSA,Eastern Africa
BEL,EUR-Belgium-Luxembourg,EUR,Western Europe
BEN,SSA-Benin,SSA,Western Africa
BFA,SSA-Burkina Faso,SSA,Western Africa
BGD,SAS-Bangladesh,SAS,Southern Asia
BGR,EUR-Bulgaria,EUR,Eastern Europe
BHR,MEN-Rest of Arabia,MEN,Western Asia
BIH,EUR-Other Balkans,EUR,Southern Europe
BLM,LAC-Other Caribbean,LAC,Caribbean
BLR,FSU-Belarus,FSU,Eastern Europe
BLZ,LAC-Belize,LAC,Central America
BOL,LAC-Bolivia,LAC,South America
BRA,LAC-Brazil,LAC,South America
BRN,EAP-Other Southeast Asia,EAP,South Eastern Asia
BTN,SAS-Bhutan,SAS,Southern Asia
BWA,SSA-Botswana,SSA,Southern Africa
CAF,SSA-Central African Rep.,SSA,Middle Africa
CAN,NAM-Canada,NAM,Northern America
CHE,EUR-Switzerland,EUR,Western Europe
CHL,LAC-Chile,LAC,South America
CHN,EAP-China,EAP,Eastern Asia
CIV,SSA-Ivory Coast,SSA,Western Africa
CMR,SSA-Cameroon,SSA,Middle Africa
COD,SSA-DRC,SSA,Middle Africa
COG,SSA-Congo,SSA,Middle Africa
COL,LAC-Colombia,LAC,South America
CPV,SSA-Other Atlantic,SSA,Western Africa
CRI,LAC-Costa Rica,LAC,Central America
CUB,LAC-Cuba,LAC,Caribbean
CYP,EUR-Cyprus,EUR,Western Asia
CZE,EUR-Czech Republic,EUR,Eastern Europe
DEU,EUR-Germany,EUR,Western Europe
DJI,SSA-Djibouti,SSA,Eastern Africa
DNK,EUR-Denmark,EUR,Northern Europe
DOM,LAC-Dominican Republic,LAC,Caribbean
DZA,MEN-Algeria,MEN,Northern Africa
ECU,LAC-Ecuador,LAC,South America
EGY,MEN-Egypt,MEN,Northern Africa
ERI,SSA-Eritrea,SSA,Eastern Africa
ESP,EUR-Spain,EUR,Southern Europe
EST,EUR-Baltic States,EUR,Northern Europe
ETH,SSA-Ethiopia,SSA,Eastern Africa
FGY,LAC-Guyanas,LAC,South America
FIN,EUR-Finland,EUR,Northern Europe
FJI,EAP-Fiji,EAP,Melanesia
FRA,EUR-France,EUR,Western Europe
GAB,SSA-Gabon,SSA,Middle Africa
GAZ,MEN-Palestine,MEN,Western Asia
GBR,EUR-UK,EUR,Northern Europe
GEO,FSU-Georgia,FSU,Western Asia
GHA,SSA-Ghana,SSA,Western Africa
GIN,SSA-Guinea,SSA,Western Africa
GMB,SSA-Gambia,SSA,Western Africa
GNB,SSA-Guinea-Bissau,SSA,Western Africa
GNQ,SSA-Equatorial Guinea,SSA,Middle Africa
GRC,EUR-Greece,EUR,Southern Europe
GRL,NAM-Greenland,NAM,Northern America
GTM,LAC-Guatemala,LAC,Central America
GUY,LAC-Guyanas,LAC,South America
HKG,EAP-China,EAP,Eastern Asia
HND,LAC-Honduras,LAC,Central America
HRV,EUR-Croatia,EUR,Southern Europe
HTI,LAC-Haiti,LAC,Caribbean
HUN,EUR-Hungary,EUR,Eastern Europe
IDN,EAP-Indonesia,EAP,South Eastern Asia
IND,SAS-India,SAS,Southern Asia
IRL,EUR-Ireland,EUR,Northern Europe
IRN,MEN-Iran,MEN,Southern Asia
IRQ,MEN-Iraq,MEN,Western Asia
ISL,EUR-Iceland,EUR,Northern Europe
ISR,MEN-Israel,MEN,Western Asia
