id,region,continent,subcontinent
ABW,ABW,Americas,Caribbean
AFG,AFG,Asia,Southern Asia
AGO,AGO,Africa,Middle Africa
AIA,AIA,Americas,Caribbean
ALB,ALB,Europe,Southern Europe
ALD,FNP,Europe,Northern Europe
AND,SPP,Europe,Southern Europe
ARE,RAP,Asia,Western Asia
ARG,ARG,Americas,South America
ARM,ARM,Asia,Western Asia
ASM,ASM,Oceania,Polynesia
ATA,ATA,Antarctic Region,
ATC,ATC,Oceania,Australia and New Zealand
ATF,ATF,Antarctic Region,
ATG,ATG,Americas,Caribbean
AUS,AUS,Oceania,Australia and New Zealand
AUT,AUT,Europe,Western Europe
AZE,AZE,Asia,Western Asia
BDI,BDI,Africa,Eastern Africa
BEL,BLX,Europe,Western Europe
BEN,BEN,Africa,Western Africa
BFA,BFA,Africa,Western Africa
BGD,BGD,Asia,Southern Asia
BGR,BGR,Europe,Eastern Europe
BHR,RAP,Asia,Western Asia
BHS,BHS,Americas,Caribbean
BIH,OBN,Europe,Southern Europe
BLM,CRB,Americas,Caribbean
BLR,BLR,Europe,Eastern Europe
BLZ,BLZ,Americas,Central America
BMU,BMU,Americas,Northern America
BOL,BOL,Americas,South America
BRA,BRA,Americas,South America
BRB,BRB,Americas,Caribbean
BRN,OSA,Asia,South Eastern Asia
BTN,BTN,Asia,Southern Asia
BWA,BWA,Africa,Southern Africa
CAF,CAF,Africa,Middle Africa
CAN,CAN,Americas,Northern America
CHE,CHP,Europe,Western Europe
CHL,CHL,Americas,South America
CHN,CHM,Asia,Eastern Asia
CIV,CIV,Africa,Western Africa
CLP,CLP,,
CMR,CMR,Africa,Middle Africa
CNM,CNM,,
COD,COD,Africa,Middle Africa
COG,COG,Africa,Middle Africa
COK,COK,Oceania,Polynesia
COL,COL,Americas,South America
COM,COM,Africa,Eastern Africa
CPV,OAO,Europe,Western Europe
CRI,CRI,Americas,Central America
CSI,CSI,,
CUB,CUB,Americas,Caribbean
CUW,CUW,,
CYM,CYM,Americas,Caribbean
CYN,CYN,,
CYP,CYP,Asia,Western Asia
CZE,CZE,Europe,Eastern Europe
DEU,DEU,Europe,Western Europe
DJI,DJI,Africa,Eastern Africa
DMA,DMA,Americas,Caribbean
DNK,DNK,Europe,Northern Europe
DOM,DOM,Americas,Caribbean
